measure_id,family,definition_file,definition_lines,library_entrypoint,output_artifact,k_resolved,n_patients_actual,cohort,fc_method,last_modified,status,supersedes,superseded_by,notes
H2d_persistence_raw,persistence,scripts/01_compute/hypothesis_tests/h2d_coactivation_persistence.py,n/a,lrg_eegfc.utils.metrics.hypothesis.wilcoxon_z,data/reports/imcoh_vi/h2d_persistence_raw.csv,yes,10,COHORT_N10,imcoh_abs,2026-04-25,current,,,Long-format per-(patient band k) Δρ
H2e_split_half,validation,scripts/01_compute/hypothesis_tests/h2e_split_half.py,n/a,scipy.stats.spearmanr,data/reports/imcoh_vi/h2e_split_half.csv,no,10,COHORT_N10,imcoh_abs,2026-04-29,current,,,Within-session drift floor; CSV (h2e_split_half_rho_raw.csv) actually contains n=10 (Pat_14 backfilled). Confirmed by audit_21 2026-04-29.
H2_FROB,frobenius,scripts/01_compute/hypothesis_tests/h2_frobenius.py,n/a,numpy.linalg.norm,data/reports/imcoh_vi/h2_frobenius.csv,no,9,COHORT_N9,imcoh_abs,2026-04-24,superseded,,.agents/reports/2026-04-25_task-trace-audit-and-recovery.md,Frobenius distance ratio; FAILS 0/6 at n=9; framing-error (residual vs global)
H2_RAW,raw_distance,scripts/01_compute/hypothesis_tests/h2_raw_matrix_correlation.py,n/a,scipy.stats.pearsonr,data/reports/imcoh_vi/h2_raw_matrix_correlation.csv,no,9,COHORT_N9,imcoh_abs,2026-04-24,superseded,,.agents/reports/2026-04-25_task-trace-audit-and-recovery.md,Direct ultrametric correlation; FAILS 0/6 at n=9; framing-error (residual vs global)
H1_topo,topology,scripts/01_compute/hypothesis_tests/h1_topology_directed.py,n/a,lrg_eegfc.utils.metrics.tree.tree_internal_nodes,data/reports/imcoh_vi/h1_topology_directed.csv,no,9,COHORT_N9,imcoh_abs,2026-04-24,stale-numeric,,,Bipartition overlap; passes 6/6 at n=9; needs Pat_14
H2a_topo,topology,scripts/01_compute/hypothesis_tests/h2_topology_directed.py,n/a,lrg_eegfc.utils.metrics.tree.tree_internal_nodes,data/reports/imcoh_vi/h2_topology_directed.csv,no,9,COHORT_N9,imcoh_abs,2026-04-24,stale-numeric,,,Topology-level H2a; FAILS 0/6 at n=9
H3_within_cross,VI,scripts/01_compute/hypothesis_tests/h3_within_cross_type.py,n/a,lrg_eegfc.utils.metrics.vi.compute_vi,data/reports/imcoh_vi/h3_within_cross_type.csv,no,10,COHORT_N10,imcoh_abs,2026-04-24,current,,,VI(within-type) < VI(cross-type); passes 6/6 at n=10
H3_topo,topology,scripts/01_compute/hypothesis_tests/h3_topology.py,n/a,lrg_eegfc.utils.metrics.tree.tree_internal_nodes,data/reports/imcoh_vi/h3_topology.csv,no,10,COHORT_N10,imcoh_abs,2026-04-24,current,,,Topology-level H3; passes 5/6 at n=10 (delta q=0.07)
H4_freq_gradient,VI,scripts/01_compute/hypothesis_tests/h4_freq_gradient.py,n/a,scipy.stats.kendalltau,data/reports/imcoh_vi/h4_freq_gradient.csv,no,10,COHORT_N10,imcoh_abs,2026-04-24,current,,,Kendall W rank concordance across bands; W=0.231 p=0.042 at n=10
KC_distance,tree_distance,src/lrg_eegfc/utils/metrics/tree_distance.py,87-150,lrg_eegfc.utils.metrics.tree_distance.kc_distance,data/reports/scalar_vi/stage4_kc_distances.csv,no,5,COHORT_N5,imcoh_abs,2026-04-24,stale-numeric,,,Kendall-Colijn 2016; n=5 only; never run on cohort N9/N10; failed scalar-gate at n=9
MC_distance,tree_distance,src/lrg_eegfc/utils/metrics/tree_distance.py,180-250,lrg_eegfc.utils.metrics.tree_distance.matching_cluster_distance,n/a,no,n/a,n/a,imcoh_abs,n/a,scope-only,,,Matching-cluster cost; library exists; never run cohort-wide
wRF_distance,tree_distance,src/lrg_eegfc/utils/metrics/tree_distance.py,250-300,lrg_eegfc.utils.metrics.tree_distance.weighted_rf_distance,n/a,no,n/a,n/a,imcoh_abs,n/a,scope-only,,,Weighted Robinson-Foulds; library exists; never run cohort-wide
MRL_step,subtree_match,scripts/01_compute/hypothesis_tests/mrl_landscape.py,n/a,lrg_eegfc.utils.metrics.tree.jaccard_leafsets,data/reports/imcoh_mrl/mrl_per_node.csv,no,9,COHORT_N9,imcoh_abs,2026-04-25,superseded,,.agents/guides/task-persistence-investigation/2026-04-25_mrl-vs-cbr-reconciliation.md,Strict Jaccard match returned cohort null at J_min=0.9; (J_pre J_post) cloud sits on identity diagonal
MRL_smooth,subtree_match,scripts/01_compute/hypothesis_tests/mrl_landscape.py,n/a,lrg_eegfc.utils.metrics.tree.jaccard_leafsets,data/reports/imcoh_mrl/mrl_per_node.csv,no,9,COHORT_N9,imcoh_abs,2026-04-25,superseded,,.agents/guides/task-persistence-investigation/2026-04-25_mrl-vs-cbr-reconciliation.md,ΔJ smooth co-primary; same null pattern as step
CBR_legacy,subtree_match,scripts/01_compute/audit/audit_08_per_patient_hierarchy.py,n/a,lrg_eegfc.utils.metrics.tree.jaccard_leafsets,data/audit/per_patient_hierarchy_legacy/,no,9,COHORT_N9,imcoh_abs,2026-04-25,superseded,,.agents/guides/task-persistence-investigation/2026-04-25_cohesion-cbr.md,Hard-threshold rest_post anchor; 0 trace exemplars in Pat_08 10 13 15
CBR_task_anchored,subtree_match,scripts/01_compute/audit/audit_09_task_anchored_cbr.py,n/a,lrg_eegfc.utils.metrics.tree.jaccard_leafsets,data/audit/per_patient_hierarchy_taskanchored/,no,9,COHORT_N9,imcoh_abs,2026-04-25,superseded,,.agents/guides/task-persistence-investigation/2026-04-25_cohesion-cbr.md,task_test anchor variant; superseded by cohesion
CBR_containment,subtree_match,scripts/01_compute/audit/audit_10_containment_cbr.py,n/a,custom containment metric,data/audit/per_patient_hierarchy_containment/,no,9,COHORT_N9,imcoh_abs,2026-04-25,superseded,,.agents/guides/task-persistence-investigation/2026-04-25_cohesion-cbr.md,Directional containment variant; superseded by cohesion
CBR_consensus,subtree_match,scripts/01_compute/audit/audit_11_consensus_subtree.py,n/a,exact set equality,data/audit/per_patient_hierarchy_consensus/,no,9,COHORT_N9,imcoh_abs,2026-04-25,active,,,Strictest possible; tests whether absence in Pat_08 10 13 15 is real
CBR_cohesion,subtree_match,scripts/01_compute/audit/audit_12_cohesion_cbr.py,n/a,jaccard + corner-distance,data/audit/per_patient_hierarchy_cohesion/,no,10,COHORT_N10,imcoh_abs,2026-04-29,current,"CBR_legacy,CBR_task_anchored,CBR_containment",,Soft affinities + confidence-graded alpha; leaf_assignment.csv contains n=10 (confirmed by audit_21 2026-04-29).
trace_modules_T,subtree_match,scripts/01_compute/audit/audit_15_trace_modules.py,n/a,lrg_eegfc.utils.metrics.tree.jaccard_leafsets,data/audit/trace_modules/trace_subtrees_n10_imcoh_abs.csv,no,10,COHORT_N10,imcoh_abs,2026-04-26,current,,,Canonical T-regime classifier; near-null at J_min=0.9 (1 module total) confirms MRL-CBR reconciliation
trace_modules_candidates,subtree_match,scripts/01_compute/audit/audit_15_trace_modules.py,n/a,lrg_eegfc.utils.metrics.tree.jaccard_leafsets,data/audit/trace_modules/trace_subtrees_n10_imcoh_abs_candidates.csv,no,10,COHORT_N10,imcoh_abs,2026-04-26,current,,,Full candidate dump (J_pre J_post) for every task subtree
band_k_landscape_n10,partition,scripts/01_compute/figures_embedded/fig_task_trace_band_k_n10.py,n/a,lrg_eegfc.utils.metrics.hypothesis.cluster_stats,data/outputs/figures/section6/task_trace_band_k_n10_imcoh_abs.pdf,yes,10,COHORT_N10,imcoh_abs,2026-04-26,current,data/outputs/figures/section6/mean_contrast_heatmap_4panel.pdf,,HEADLINE 5-panel band×k figure (Δ_VI Δ_H Δ_NMI Δρ_H2d H2c-strip); ARI excluded per feedback. δ k=20-32 ridge survives across all 3 H2a operationalizations; H2a re-instated at n=10.
k_artefact_diagnostic_n10,diagnostic,scripts/01_compute/diagnostics/diag_k_artefact.py,n/a,lrg_eegfc.utils.metrics.tree.simpson_neff,data/outputs/figures/section6/k_artefact_diagnostic_n10_imcoh_abs.pdf,yes,10,COHORT_N10,imcoh_abs,2026-04-26,current,,,Companion to headline; n_eff(k) singleton-fraction max-cluster-fraction
mean_contrast_heatmap_4panel_n5,partition,scripts/07_figures/gen_h2b_figures.py,493-571,lrg_eegfc.utils.metrics.vi.compute_vi,data/outputs/figures/section6/mean_contrast_heatmap_4panel.pdf,yes,5,COHORT_N5,MSC,2026-03-24,archived,,band_k_landscape_n10,n=5 historical record; do not edit producer script
